camera_id,camera_name,camera_route,candidate_rank,score,candidate_name,candidate_roadway,candidate_direction,candidate_lat,candidate_lon
7606,SH199 @ Foster Hodgkins,SH199,1,0.761,SH199 @ Florence,SH-199,West,32.861131,-97.521195
7606,SH199 @ Foster Hodgkins,SH199,2,0.761,SH199 @ N.Stewart,SH-199,West,32.891642,-97.540569
7606,SH199 @ Foster Hodgkins,SH199,3,0.708,SH199 @ Confederate Park,SH-199,West,32.826324,-97.479812
7606,SH199 @ Foster Hodgkins,SH199,4,0.683,SH199 @ Ty,SH-199,West,32.866664,-97.523794
7606,SH199 @ Foster Hodgkins,SH199,5,0.674,SH199 @ Nine Mile Bridge,SH-199,West,32.837867,-97.491902
7628,SH73 @ Veterans Memorial Bridge SWCSF,SH73,1,0.757,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCSF),,,3500903.7224999964,-10449620.1567
7628,SH73 @ Veterans Memorial Bridge SWCSF,SH73,2,0.73,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCSF),,,3501080.9444999993,-10449591.4363
7628,SH73 @ Veterans Memorial Bridge SWCSF,SH73,3,0.73,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCNF),,,3500959.1120999977,-10449615.2586
7628,SH73 @ Veterans Memorial Bridge SWCSF,SH73,4,0.714,SH-249 @ Veterans Memorial,,,3490463.2698,-10623187.169
7628,SH73 @ Veterans Memorial Bridge SWCSF,SH73,5,0.703,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCNF),,,3501128.4954999983,-10449583.9779
7629,SH73 @ Veterans Memorial Bridge SWCNF,SH73,1,0.757,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCNF),,,3500959.1120999977,-10449615.2586
7629,SH73 @ Veterans Memorial Bridge SWCNF,SH73,2,0.73,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCNF),,,3501128.4954999983,-10449583.9779
7629,SH73 @ Veterans Memorial Bridge SWCNF,SH73,3,0.73,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCSF),,,3500903.7224999964,-10449620.1567
7629,SH73 @ Veterans Memorial Bridge SWCNF,SH73,4,0.714,SH-249 @ Veterans Memorial,,,3490463.2698,-10623187.169
7629,SH73 @ Veterans Memorial Bridge SWCNF,SH73,5,0.703,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCSF),,,3501080.9444999993,-10449591.4363
7630,SH73 @ Veterans Memorial Bridge NWCNF,SH73,1,0.757,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCNF),,,3501128.4954999983,-10449583.9779
7630,SH73 @ Veterans Memorial Bridge NWCNF,SH73,2,0.73,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCSF),,,3501080.9444999993,-10449591.4363
7630,SH73 @ Veterans Memorial Bridge NWCNF,SH73,3,0.73,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCNF),,,3500959.1120999977,-10449615.2586
7630,SH73 @ Veterans Memorial Bridge NWCNF,SH73,4,0.714,SH-249 @ Veterans Memorial,,,3490463.2698,-10623187.169
7630,SH73 @ Veterans Memorial Bridge NWCNF,SH73,5,0.703,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCSF),,,3500903.7224999964,-10449620.1567
7631,SH73 @ Veterans Memorial Bridge NWCSF,SH73,1,0.757,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCSF),,,3501080.9444999993,-10449591.4363
7631,SH73 @ Veterans Memorial Bridge NWCSF,SH73,2,0.73,BMT - SH-73 @ Veterans Mem Bridge - Bridge City (NWCNF),,,3501128.4954999983,-10449583.9779
7631,SH73 @ Veterans Memorial Bridge NWCSF,SH73,3,0.73,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCSF),,,3500903.7224999964,-10449620.1567
7631,SH73 @ Veterans Memorial Bridge NWCSF,SH73,4,0.714,SH-249 @ Veterans Memorial,,,3490463.2698,-10623187.169
7631,SH73 @ Veterans Memorial Bridge NWCSF,SH73,5,0.703,BMT - SH-73 @ Veterans Mem Bridge - Port Arthur (SWCNF),,,3500959.1120999977,-10449615.2586
7632,IH10 @ Little Cypress,IH10,1,0.75,IH-10 @ Piedras,IH-10,West,31.778111,-106.463777
7632,IH10 @ Little Cypress,IH10,2,0.743,IH 10 at Presa,IH-10,East,29.393223,-98.482188
7632,IH10 @ Little Cypress,IH10,3,0.743,IH 10 at Presa,IH-10,East,29.393223,-98.482188
7632,IH10 @ Little Cypress,IH10,4,0.713,IH-10 @  Joe Battle,IH-10,West,31.705849,-106.289065
7632,IH10 @ Little Cypress,IH10,5,0.695,IH-10 @ Lee Trevino,IH-10,East,31.739888,-106.325499
7633,IH10 @ Din Bayou,IH10,1,0.817,IH-10 @ Airway,IH-10,East,31.778861,-106.393694
7633,IH10 @ Din Bayou,IH10,2,0.817,IH-10 @ Vinton,IH-10,West,31.9576,-106.582186
7633,IH10 @ Din Bayou,IH10,3,0.792,IH 10 at Dominion,IH-10,East,29.648358,-98.623108
7633,IH10 @ Din Bayou,IH10,4,0.792,IH 10 at Dominion,IH-10,East,29.648358,-98.623108
7633,IH10 @ Din Bayou,IH10,5,0.79,IH-10 @ Paisano,IH-10,West,31.778027,-106.421611
7634,IH10 @ FM1442,IH10,1,0.75,IH-10 @ Mesa,IH-10,West,31.839041,-106.570215
7634,IH10 @ FM1442,IH10,2,0.736,IH10 at IH20-184,IH10,East,31.08043,-104.111123
7634,IH10 @ FM1442,IH10,3,0.732,IH 10 at Rim,IH-10,West,29.618534,-98.607144
7634,IH10 @ FM1442,IH10,4,0.732,IH 10 at Rim,IH-10,West,29.618534,-98.607144
7634,IH10 @ FM1442,IH10,5,0.732,IH 10 at Rim,IH-10,West,29.618534,-98.607144
7635,IH10 @ Anderson Gully,IH10,1,0.795,IH-10 @ Landfill,IH-10,West,31.938074,-106.582573
7635,IH10 @ Anderson Gully,IH10,2,0.731,IH-10 @ Americas,IH-10,East,31.7007,-106.284054
7635,IH10 @ Anderson Gully,IH10,3,0.731,IH-10 @ Geronimo,IH-10,East,31.781305,-106.407972
7635,IH10 @ Anderson Gully,IH10,4,0.731,IH-10 @ Raynolds,IH-10,East,31.777138,-106.433305
7635,IH10 @ Anderson Gully,IH10,5,0.713,IH-10 @ Yarbrough,IH-10,East,31.752638,-106.345722
7636,IH10 @ Cole Creek,IH10,1,0.817,IH-10 @ McRae,IH-10,East,31.758666,-106.355444
7636,IH10 @ Cole Creek,IH10,2,0.771,IH-10 @ Lee Trevino,IH-10,East,31.739888,-106.325499
7636,IH10 @ Cole Creek,IH10,3,0.767,IH 10 at Boerne Stage,IH-10,East,29.666016,-98.632121
7636,IH10 @ Cole Creek,IH10,4,0.767,IH 10 at Colorado,IH-10,West,29.440385,-98.509099
7636,IH10 @ Cole Creek,IH10,5,0.767,IH 10 at Boerne Stage,IH-10,East,29.666016,-98.632121
7638,IH10 @ Willow Marsh Bayou,IH10,1,0.721,IH-10 @ Yarbrough,IH-10,East,31.752638,-106.345722
7638,IH10 @ Willow Marsh Bayou,IH10,2,0.679,IH-10 @ Missouri,IH-10,West,31.764388,-106.486861
7638,IH10 @ Willow Marsh Bayou,IH10,3,0.679,IH-10 @ Raynolds,IH-10,East,31.777138,-106.433305
7638,IH10 @ Willow Marsh Bayou,IH10,4,0.679,IH-10 @ Viscount,IH-10,West,31.764442,-106.364264
7638,IH10 @ Willow Marsh Bayou,IH10,5,0.679,IH-10 @ Zaragoza,IH-10,East,31.720055,-106.304555
7639,IH10 @ 1410/Ogden Ditch,IH10,1,0.681,IH 10 at Medical,IH-10,West,29.523789,-98.555804
7639,IH10 @ 1410/Ogden Ditch,IH10,2,0.681,IH 10 at Medical,IH-10,West,29.523789,-98.555804
7639,IH10 @ 1410/Ogden Ditch,IH10,3,0.679,I-10 @ Buena Vista,IH-10,West,31.809232,-106.53007
7639,IH10 @ 1410/Ogden Ditch,IH10,4,0.664,I-10 @ A&M Circle,IH-10,East,31.699993,-106.284175
7639,IH10 @ 1410/Ogden Ditch,IH10,5,0.664,IH-10 @ Trade Center,IH-10,West,31.897509,-106.58253
7640,IH10 @ Turtle Bayou,IH10,1,0.771,IH-10 @ Raynolds,IH-10,East,31.777138,-106.433305
7640,IH10 @ Turtle Bayou,IH10,2,0.75,IH-10 @  Joe Battle,IH-10,West,31.705849,-106.289065
7640,IH10 @ Turtle Bayou,IH10,3,0.75,IH-10 @ Yarbrough,IH-10,East,31.752638,-106.345722
7640,IH10 @ Turtle Bayou,IH10,4,0.743,IH-10 @ Airway,IH-10,East,31.778861,-106.393694
7640,IH10 @ Turtle Bayou,IH10,5,0.74,IH 10 at The Y,IH-10,East,29.433262,-98.502679
7641,IH10 @ FM3247,IH10,1,0.75,IH-10 @ Mesa,IH-10,West,31.839041,-106.570215
7641,IH10 @ FM3247,IH10,2,0.736,IH10 at IH20-184,IH10,East,31.08043,-104.111123
7641,IH10 @ FM3247,IH10,3,0.732,IH 10 at Rim,IH-10,West,29.618534,-98.607144
7641,IH10 @ FM3247,IH10,4,0.732,IH 10 at IH 35,IH-10,West,29.396287,-98.505896
